Județ;Localitate;Adresa;Tip;Latitudine;Longitudine;Capacitatea
BIF;Sector 1;Str. Subcetate 72 Bl. 13, sc. B+C;privat;44,487803;26,038380;170
BIF;Sector 1;Str. Teodosie R. 3 Bl. 1C, sc. A;privat;44,453694;26,072824;175
BIF;Sector 1;Str. Turda 127 Bl. 2, sc. B;privat;44,275856;26,042179;100
BIF;Sector 1;Str. Turda 127 Bl. 2, sc. C;privat;44.276019;26,042698;100
BIF;Sector 1;Str. Turda 127 Bl. 2, sc. D;privat;44.276120;2,604260;120
BIF;Sector 1;Str. Turda 129 Bloc,1,sc. B;privat;44.276476;26,042864;120
BIF;Sector 1;Str. Turda 129 Bl. 1, sc. C;privat;44.276559;26,043016;100
BIF;Sector 1;Str. Turda 129 Bl. 1, sc. D;privat;44.276729;26,043137;100
BIF;Sector 1;Bd. Buc. Noi 68 Bl. 8, sc. A+B;privat;44.486462;26,039279;150
BIF;Sector 1;Bd. Buc. Noi 64 Bl. 7,sc. C+D;privat;44.485393;26,040033;170
BIF;Sector 1;Bd. Ion Mihalache nr. 1-7 Bank BRD – Turn;privat;44,452597;26,083638;300
BIF;Sector 1;"Bdul. Dinicu Golescu Nr. 38 Poarta G Ministerul
Transporturilor";privat;44,444661;26,077351;1800
BIF;Sector 1;Piaţa Gãrii de Nord nr. 1-3 Staţia. CF GARA DE NORD;privat;44,44693;26,075923;360
BIF;Sector 1;Calea Victoriei nr.63-81 Hotel Radisson Corp A2;privat;44,442015;26,093818;225
BIF;Sector 1;"Calea Victoriei nr. 35 Centr. Tel. Victoria, Telekom
România";privat;44,43632;26,097701;100
BIF;Sector 1;Str. Episcopiei, nr. 1-3 Hotel Athenee Palace Hilton;privat;44,441252;26,09579;150
BIF;Sector 1;Str. Aviator Popişteanu nr. 46 Dir. San. Pub. Ilfov;privat;44,472354;26,056571;175
BIF;Sector 1;Str. George Enescu nr. 27-29 UGIR;privat;44,44453;23,097442;200
BIF;Sector 1;"Str. Gr. Constantin Budiştea nr. 28 C Budiştea Office
Building";privat;44,442654;26,090965;160
BIF;Sector 1;Str. Ştirbei Vodã nr.  33 Univ. de Muzicã;privat;44,439757;26,081523;300
BIF;Sector 1;Str.  Serg. Gheorghe Vârtej nr. 15 Grãdiniţa nr.248;privat;44,429414;26,140452;216
BIF;Sector 1;"Str. Vrancei nr. 9A Centrul de Servicii Sociale Creşa
Vrancei";privat;44,469939;23,052402;200
BIF;Sector 1;"SOS.BUCURESTI - PLOIESTI 42 D Baneasa Soping
Citty";privat;44,507587;26,082666;198
BIF;Sector 1;"SOS.BUCURESTI - PLOIESTI 42D Baneasa
Development";privat;44,507495;26,082988;150
BIF;Sector 1;"STR GEORGE ENESCU 11,11A JUPITER
DEVELOPMENT";privat;44,442734;26,095865;89
BIF;Sector 1;BD. EXPOZITIEI IF S.C. BOGART OFFICES S.R.L.;privat;44,474437;26,068063;189
BIF;Sector 1;BD. EXPOZITIEI IF S.C. BOGART OFFICES S.R.L.;privat;44,474425;26,067923;189
BIF;Sector 1;BD. EXPOZITIEI IF S.C. BOGART OFFICES S.R.L.;privat;44,474553;26,067985;189
BIF;Sector 1;BD. EXPOZITIEI IF S.C. BOGART OFFICES S.R.L.;privat;44,474487;26,067911;189
BIF;Sector 1;"STR.VASILE ALECSANDRI NR. 4-11 S.C.
ALECSANDRI ESTATES S.R.L.";privat;44,453081;26,094774;275
;Sector 1;"STR.VASILE ALECSANDRI NR. 4-11 S.C.
ALECSANDRI ESTATES S.R.L.";privat;44,453081;26,094774;200
;Sector 1;"STR.VASILE ALECSANDRI NR. 4-11 S.C.
ALECSANDRI ESTATES S.R.L.";privat;44,453081;26,094774;314
BIF;Sector 1;"B-DUL FICUSULUI 20-26 COLEGIUL AGRICOL
""VICESLAV HARNAJ""";privat;44,490616;26,085571;310
BIF;Sector 1;Str. ZĂGAZULUI 7 S.C. BAHTCO INVEST S.R.L.;privat;44,477467;26,094102;120
BIF;Sector 1;"ŞOS. BUCUREŞTI - PLOIEŞTI 172-174 S.C.
ACARTA CONSTRUCT S.R.L.corp A";privat;44,516140;26,080774;150
BIF;Sector 1;"ŞOS. BUCUREŞTI - PLOIEŞTI 172-174 S.C.
ACARTA CONSTRUCT S.R.L.corp B";privat;44,514971;26,081214;150
BIF;Sector 1;Str. Frumoasă 30 FRUMOASA OFFICES - S.R.L.;privat;44,448473;26,086218;40
BIF;Sector 1;"Str. Dr. Dimitrie Sergiu 5 SANA MONITORING -
S.R.L.";privat;44,450254;26,082440;145
BIF;Sector 1;"Sos.Bucuresti-Ploiesti 160A FUNTIA LYCEE
FRANCAIS ANNA DE NOAILLES - CORP A";privat;44,516347;26,080754;194
BIF;Sector 1;"Sos.Bucuresti-Ploiesti 160A FUNDATIA LYCEE
FRANCAIS ANNA DE NOAILLES - CORP B";privat;44,515004;26,081041;207
BIF;Sector 1;"Sos.Bucuresti-Ploiesti 160A FUNDATIA LYCEE
FRANCAIS ANNA DE NOAILLES - CORP C";privat;44,514713;26,081256;167
BIF;Sector 1;"Str. Pechea nr. 8, Str. Zeletin nr. 3 8 REMINOS
INVESTMENT S.R.L.";privat;44,489974;26,091718;40
BIF;Sector 1;Str. Ion Câmpinea nr. 2  ELMEC ROMÂNIA - S.R.L.;privat;44,437924;26,100801;80
BIF;Sector 1;Şos. Ştefan cel Mare 3-5 MED LIFE - S.A;privat;44,453485;26,100598;154
BIF;Sector 1;"B-dul Bucureştii Noi 50A A & V COMIMPEX 93  -
S.R.L.";privat;44,480788;26,043727;150
BIF;Sector 1;Str. Alexandrina 38-40 TOWN IMOBILIAR - S.R.L.;privat;44,466349;26,083335;117
BIF;Sector 1;"Str. Grigore Alexandrescu 59 MATRIX OFFICE
CENTER - S.R.L.";privat;44,451718;26,093810;130
BIF;Sector 1;Metropolis Center, Str. Grigore Alexandrescu Nr. 89-97;privat;44,466349;26,084334;330
BIF;Sector 1;"Str. Grigore Gafencu 49-57 ANGHEL SORIN
DUMITRU";privat;44,487988;26,089496;456
BIF;Sector 1;"B-dul Aviatorilor 47 AVIATORILOR DEVELOPMENT
- S.R.L.";privat;44,463971;26,085840;83
